"birthYMD","butcheryYmd","month","animalNo","gradeNm","qgrade","wgrade","weight","windex","Name"
"2014-02-23","2016-04-29",26.1698630136986,"002306143937","1++A","1++","A",449,67,"Na"
"2014-02-16","2016-04-29",26.4,"002307366853","1++A","1++","A",434,68,"Na"
"2014-01-26","2016-04-29",27.0904109589041,"002307361832","1+A","1+","A",401,69,"Na"
"2014-01-16","2016-04-29",27.4191780821918,"002089857096","1C","1","C",590,59,"Na"
"2014-04-27","2016-04-29",24.0986301369863,"002308347605","1A","1","A",454,69,"Na"
"2014-05-11","2016-04-29",23.6383561643836,"002308532906","1+B","1+","B",439,64,"Na"
"2014-04-20","2016-04-29",24.3287671232877,"002308320115","1+C","1+","C",494,62,"Na"
"2014-04-01","2016-04-29",24.9534246575342,"002090790866","2B","2","B",317,67,"Na"
"2014-03-19","2016-04-29",25.3808219178082,"002307979754","1+B","1+","B",479,65,"Na"
"2013-02-26","2015-04-06",25.2821917808219,"002083187890","3A","3","A",205,69,"Na"
"2013-02-14","2015-04-06",25.6767123287671,"002083186535","3A","3","A",210,69,"Na"
"2013-01-04","2015-04-06",27.0246575342466,"002083191603","2B","2","B",436,66,"Na"
"2013-03-28","2015-04-06",24.2958904109589,"002305050697","1+B","1+","B",365,64,"Na"
"2013-03-26","2015-04-06",24.3616438356164,"002305050689","1+C","1+","C",390,61,"Na"
"2013-07-02","2016-01-29",30.9369863013699,"002085326573","1++B","1++","B",505,64,"Na"
"2013-07-06","2016-01-29",30.8054794520548,"002084379208","1+B","1+","B",433,64,"Na"
"2013-06-01","2016-01-29",31.9561643835616,"002305069979","1++B","1++","B",481,63,"Na"
"2013-06-28","2016-01-29",31.0684931506849,"002306099607","1++B","1++","B",450,63,"Na"
"2013-07-17","2016-01-29",30.4438356164384,"002085421564","1++C","1++","C",480,57,"Na"
"2013-09-22","2016-04-28",31.2,"002088798139","1C","1","C",378,60,"Na"
"2013-09-17","2016-04-28",31.3643835616438,"002087042586","1+C","1+","C",458,59,"Kim"
"2013-09-03","2016-04-28",31.8246575342466,"002306539562","1++A","1++","A",394,68,"Kim"
"2013-07-18","2016-04-28",33.3698630136986,"002306538682","1+A","1+","A",481,71,"Kim"
"2013-08-16","2016-04-28",32.4164383561644,"002086797156","1+B","1+","B",444,65,"Kim"
"2013-09-09","2016-04-28",31.627397260274,"002087040566","1B","1","B",466,66,"Kim"
"2014-09-16","2016-06-13",20.9095890410959,"002094509816","2C","2","C",436,63,"Kim"
"2014-03-06","2016-10-10",31.2,"002087407038","2A","2","A",393,68,"Kim"
"2014-03-22","2016-10-10",30.6739726027397,"002090235097","1++B","1++","B",419,65,"Kim"
"2014-03-05","2016-10-10",31.2328767123288,"002307382062","1++A","1++","A",379,70,"Kim"
"2014-03-26","2016-10-10",30.5424657534247,"002090925924","1++B","1++","B",407,66,"Kim"
"2014-03-13","2016-10-10",30.9698630136986,"002307979787","1C","1","C",392,62,"Kim"
"2014-03-22","2016-10-10",30.6739726027397,"002090839761","2B","2","B",404,66,"Kim"
"2014-04-02","2016-10-10",30.3123287671233,"002308317709","1+C","1+","C",511,59,"Kim"
"2014-03-14","2016-10-10",30.9369863013699,"002307382790","1+B","1+","B",435,64,"Kim"
"2014-02-27","2016-10-10",31.4301369863014,"002306144464","1+C","1+","C",472,62,"Kim"
"2014-04-07","2016-10-10",30.1479452054795,"002308344017","1++B","1++","B",418,65,"Kim"
"2014-03-16","2016-10-10",30.8712328767123,"002307995595","2C","2","C",491,56,"Kim"
"2014-04-05","2016-10-18",30.4767123287671,"002090844173","1+B","1+","B",453,66,"Kim"
"2014-04-05","2016-10-18",30.4767123287671,"002308206956","1A","1","A",369,67,"Kim"
"2014-04-02","2016-10-18",30.5753424657534,"002090843050","1C","1","C",464,63,"Kim"
"2014-04-01","2016-10-18",30.6082191780822,"002308206567","1+B","1+","B",452,66,"Kim"
"2014-02-10","2016-10-18",32.2520547945205,"002087388280","1B","1","B",451,63,"Kim"
"2014-05-04","2016-10-25",29.7534246575342,"002091983902","1C","1","C",443,61,"Kim"
"2014-03-04","2016-10-25",31.758904109589,"002090226859","1A","1","A",431,68,"Kim"
"2013-12-05","2016-07-06",31.0356164383562,"002088601547","2C","2","C",516,55,"Kim"
"2013-08-20","2016-07-06",34.5534246575342,"002088890036","3B","3","B",132,72,"Lee"
"2013-11-14","2016-07-06",31.7260273972603,"002088784191","3B","3","B",131,72,"Lee"
"2013-10-20","2016-07-06",32.5479452054795,"002088158179","1+B","1+","B",445,66,"Lee"
"2013-08-26","2016-07-06",34.3561643835616,"002087868474","1+B","1+","B",328,66,"Lee"
"2013-11-05","2016-07-06",32.0219178082192,"002087310169","1B","1","B",502,66,"Lee"
"2013-10-19","2016-07-06",32.5808219178082,"002087322253","2B","2","B",529,65,"Lee"
"2013-09-12","2016-07-06",33.7972602739726,"002086978906","2C","2","C",511,63,"Lee"
"2014-04-06","2016-12-01",31.8904109589041,"002308556306","1A","1","A",430,67,"Lee"
"2014-04-15","2016-12-01",31.5945205479452,"002308351718","1+B","1+","B",478,63,"Lee"
"2014-04-19","2016-12-01",31.4630136986301,"002090857256","1A","1","A",410,68,"Lee"
"2014-04-22","2016-12-01",31.3643835616438,"002308320070","1+C","1+","C",465,63,"Lee"
"2014-04-01","2016-12-01",32.0547945205479,"002307998715","1+C","1+","C",473,63,"Lee"
"2014-04-20","2016-12-01",31.4301369863014,"002308199062","1+C","1+","C",420,63,"Lee"
"2014-02-23","2016-12-01",33.2712328767123,"002090753172","1+A","1+","A",360,67,"Lee"
"2014-04-18","2016-12-01",31.4958904109589,"002091875249","1++B","1++","B",409,63,"Lee"
"2013-07-28","2016-03-02",31.1671232876712,"002306157292","2C","2","C",469,59,"Lee"
"2013-05-10","2016-03-02",33.7643835616438,"002305062137","1++C","1++","C",362,62,"Lee"
"2013-08-05","2016-03-02",30.9041095890411,"002085318604","1+C","1+","C",443,62,"Lee"
"2013-09-12","2016-03-02",29.6547945205479,"002088715152","2B","2","B",467,66,"Lee"
"2013-06-23","2016-03-02",32.3178082191781,"002085326661","1+B","1+","B",460,64,"Lee"
"2013-08-04","2016-03-02",30.9369863013699,"002085318590","1+B","1+","B",447,63,"Lee"
"2013-07-27","2016-03-02",31.2,"002086612754","1++A","1++","A",309,70,"Lee"
"2013-07-29","2016-03-02",31.1342465753425,"002086632356","1+B","1+","B",433,65,"Lee"
"2013-07-31","2016-03-02",31.0684931506849,"002306152448","1C","1","C",454,58,"Lee"
"2013-08-01","2016-03-02",31.0356164383562,"002306152260","1+B","1+","B",431,63,"Lee"
"2014-04-14","2016-11-01",30.641095890411,"002308203409","1++A","1++","A",410,68,"Lee"
"2014-04-26","2016-11-01",30.2465753424658,"002091992293","1+B","1+","B",459,66,"Lee"
"2014-04-10","2016-11-01",30.772602739726,"002308203351","1+A","1+","A",412,68,"Lee"
"2014-03-03","2016-11-01",32.0219178082192,"002090226883","1+A","1+","A",505,70,"Lee"
"2013-04-01","2016-12-01",44.0547945205479,"002084065081","1+B","1+","B",420,63,"Lee"
"2012-03-23","2016-12-01",56.3506849315068,"002076383394","1B","1","B",433,63,"Ahn"
"2013-03-13","2016-12-01",44.6794520547945,"002084065090","1C","1","C",362,57,"Ahn"
"2012-02-23","2016-12-01",57.3041095890411,"002076392444","2B","2","B",393,64,"Ahn"
"2012-02-23","2016-12-01",57.3041095890411,"002076393742","1+B","1+","B",386,66,"Ahn"
"2013-12-04","2016-06-30",30.8712328767123,"002089453044","1+A","1+","A",509,67,"Ahn"
"2014-01-03","2016-06-30",29.8849315068493,"002306902773","1B","1","B",468,64,"Ahn"
"2013-12-02","2016-06-30",30.9369863013699,"002306134957","1+B","1+","B",435,65,"Ahn"
"2013-12-05","2016-06-30",30.8383561643836,"002088808921","1A","1","A",436,68,"Ahn"
"2013-11-06","2016-07-15",32.2849315068493,"002305606646","1++C","1++","C",379,60,"Ahn"
"2014-02-14","2016-07-15",28.9972602739726,"002090903030","1++B","1++","B",426,65,"Ahn"
"2013-12-23","2016-07-15",30.7397260273973,"002089781804","1B","1","B",371,65,"Ahn"
"2014-01-03","2016-07-15",30.3780821917808,"002087367624","1+C","1+","C",404,59,"Ahn"
"2014-02-02","2016-08-05",30.0821917808219,"002307361550","1+A","1+","A",368,67,"Ahn"
"2014-01-20","2016-08-05",30.5095890410959,"002089780872","1++B","1++","B",405,66,"Ahn"
"2014-01-13","2016-08-05",30.7397260273973,"002086461903","3A","3","A",406,71,"Ahn"
"2013-12-10","2016-08-05",31.8575342465753,"002089766284","2C","2","C",437,60,"Ahn"
"2013-12-21","2016-08-10",31.6602739726027,"002089768331","1B","1","B",244,66,"Ahn"
"2013-12-09","2016-08-10",32.0547945205479,"002087520167","1B","1","B",245,66,"Ahn"
"2014-01-17","2016-08-10",30.772602739726,"002306737052","1+B","1+","B",440,63,"Ahn"
"2014-03-01","2016-09-29",31.0027397260274,"002307614829","1+B","1+","B",447,65,"Ahn"
"2014-03-09","2016-09-29",30.7397260273973,"002087407513","1B","1","B",398,66,"Ahn"
"2014-03-11","2016-09-29",30.6739726027397,"002090238799","1+B","1+","B",434,67,"Ahn"
